,i,j,steps,acidgas_Fm,acidgas_CO2,acidgas_H2O,acidgas_H2S,acidgas_T,acidgas_P,air,air_SP,second_air2,air2_SP,COG,COG_SP,burner_input_T_SP,burner_input_T_PV,burner_inputP,burner_output_T_SP,burner_output_T_PV,burner_output_P_SP,burner_output_P_PV,fur_F,fur_inputT,fur_inputP,fur_temp,fur_outputT,fur_outputP_SP,fur_outputP_PV,WHB_F,WHB_inputT,WHB_inputP,WHB_outputT,WHB_outputP,SEP1_F,SEP1_P_SP,SEP1_P_PV,SEP1_T,HEATER1_F,HEATER1_input_T,HEATER1_input_P,HEATER1_output_T_SP,HEATER1_output_T_PV,HEATER1_output_P,cat1_F,cat1_input_temp,cat1_output_temp,cat1_input_P,cat1_output_P_SP,cat1_output_P_PV,cat1_deltaP,SEP2_F,SEP2_P_SP,SEP2_P_PV,SEP2_T,HEATER2_F,HEATER2_input_T,HEATER2_input_P,HEATER2_output_T_SP,HEATER2_output_T_PV,HEATER2_output_P,cat2_F,cat2_input_temp,cat2_output_temp,cat2_input_P,cat2_output_P_SP,cat2_output_P_PV,cat2_deltaP,SEP3_F,SEP3_P_SP,SEP3_P_PV,SEP3_T,B35_H2S,B35_SO2,ratio,ratioSP,conv
0,0.0,0.0,0.0,140.36740435187878,40.09949069112129,45.3662038551268,54.90170980563069,83.6,1.6722000000000001,123.19461902667297,3454.4876873761646,500.000006188912,500.0,67.27877349126189,63.402383803854214,599.9999587739113,599.9999032061652,1.62201070577662,1219.506405728874,1219.5062458749728,1.622195,1.622195150232258,296.2783085331781,210.35774912187728,1.5721286160536447,1003.8990770111462,1010.0753345636404,1.571315,1.5713155609903653,292.5520652317156,1010.0753345633888,1.5213720149266614,345.9347257074121,1.5212442855444988,292.5520652317156,1.520795,1.520796054554917,177.13082032981762,278.51436507155455,177.13082032978332,1.4247424377664386,370.48296063978137,370.48294869685486,1.4238381457756306,278.51436507155455,370.48294869685486,388.2782880633336,1.4236193342474404,1.411445,1.4114456726919982,12.173661555442195,277.5103139967687,1.361375,1.361375981707104,68.1367113520089,217.1920592037994,68.13671135200588,1.2657394018454946,190.0,189.9993478904018,1.4238381457756306,217.19205920379937,189.9993478904018,233.44822996406725,1.265340486621197,1.251615,1.2516156710638884,13.724815557308645,215.42429547534442,1.200915,1.2009158934611515,137.3131242446808,0.015349092968415886,0.01617068131864542,0.9491927189683586,2.012651920994923,0.8770608374394344
1,0.0,1.0,1.0,140.36754293629284,40.09953028125582,45.36624864507507,54.90176400996195,83.6,1.6722000000000001,123.19497007466468,3454.491109360633,500.00011632461064,500.0,67.27880409612376,63.40239042627811,599.9999587739113,599.9998542508091,1.6220105807436345,1219.506405728874,1219.5062759485545,1.622195,1.6221950253038249,296.27880602741095,210.35758381250207,1.5721284184350066,1003.8995800827557,1010.075989891409,1.571315,1.5713153602924579,292.5525195580745,1010.0759898912629,1.5213718145102046,345.93655628787997,1.5212440846502902,292.5525195580745,1.520795,1.520795852743551,177.1308489669329,278.51513835288233,177.13084896689364,1.424742305420565,370.48245357307815,370.4824460828939,1.4238380083413371,278.51513835288233,370.4824460828939,388.27792045473643,1.423619195765885,1.411445,1.4114454734282034,12.173722337681658,277.511082993977,1.361375,1.3613758619139171,68.13671470282692,217.19267576866056,68.13671470282235,1.2657393273733006,190.0,189.99942544962758,1.4238380083413371,217.19267576866056,189.99942544962758,233.44824376322725,1.2653404097939442,1.251615,1.2516155122982213,13.72489749572292,215.4249208640475,1.200915,1.2009158237454693,137.31312446203535,0.015349140491121974,0.016170694348280754,0.9491948929672196,2.012651920994923,0.8770603099275085
2,0.0,2.0,2.0,140.36764439913523,40.09955926667678,45.36628143747451,54.90180369498396,83.6,1.6722000000000001,123.19520635503108,3454.493621805661,500.00013819491994,500.0,67.27881817554504,63.40238757845003,599.9999587739113,599.9998665892768,1.622010509445016,1219.506405728874,1219.5063488911314,1.622195,1.6221949540417797,296.27914561370875,210.35746331702157,1.5721282737729054,1003.8998822405615,1010.0763852114482,1.571315,1.5713152135467274,292.5528308936054,1010.0763852113636,1.5213716223268472,345.93775249271073,1.5212438921399674,292.5528308936054,1.520795,1.5207956596129517,177.1308792158357,278.5156552633161,177.13087921579694,1.4247421758869512,370.48212911785333,370.4821243019412,1.4238378754308474,278.5156552633161,370.4821243019412,388.27767344510465,1.423619062161847,1.411445,1.4114452998732927,12.173762288554268,277.5115966088708,1.361375,1.361375695769891,68.13671850085721,217.1930254105017,68.1367185008515,1.2657392053427048,190.0,189.99953880259778,1.4238378754308474,217.19302541050166,189.99953880259778,233.44834164801856,1.2653402863615033,1.251615,1.2516153391965326,13.724947164970747,215.42527028457303,1.200915,1.200915671198397,137.31312476127547,0.015349183895202283,0.016170707554957905,0.9491968018737841,2.012651920994923,0.8770599657587302
3,0.0,3.0,3.0,140.3677125911758,40.09957874745374,45.36630347687909,54.901830366843,83.6,1.6722000000000001,123.19536064221552,3454.495312950081,500.00011730554655,500.0,67.27882152657986,63.40238024591144,599.9999587739113,599.9999001048351,1.6220104769209676,1219.506405728874,1219.5064178316563,1.622195,1.622194921516049,296.2793669177517,210.3573781553347,1.5721281765544408,1003.9000660322413,1010.0766256413722,1.571315,1.571315114976166,292.5530342253938,1010.0766256413224,1.5213714646710943,345.9385143909574,1.521243734269583,292.5530342253938,1.520795,1.52079550133878,177.13091024067697,278.51600862407815,177.13091024063553,1.4247420801594775,370.4819194045893,370.48191628586176,1.4238377774236521,278.51600862407815,370.48191628586176,388.2775026081189,1.423618963688456,1.411445,1.41144517477178,12.173788916675976,277.51194807163046,1.361375,1.3613755429106285,68.13672262978153,217.19323478340306,68.13672262977681,1.2657391019844724,190.0,189.99964670988234,1.4238377774236521,217.19323478340303,189.99964670988234,233.4484500899169,1.2653401821319217,1.251615,1.2516152036221635,13.724978509758179,215.42547703919863,1.200915,1.2009155173017854,137.31312517234306,0.015349221481109423,0.016170719623681943,0.9491984177766931,2.012651920994923,0.8770597156770907
4,0.0,4.0,4.0,140.3677557339395,40.09959107227273,45.366317420453974,54.90184724121283,83.6,1.6722000000000001,123.19545906266073,3454.496384185503,500.0000820824429,500.0,67.27881897723975,63.40237175626939,599.9999587739113,599.999933818754,1.6220104687384462,1219.506405728874,1219.5064649049586,1.622195,1.6221949133145068,296.279506206974,210.35731912998682,1.5721281150496842,1003.9001794877877,1010.0767736126702,1.571315,1.5713150526215116,292.55316221052556,1010.0767736126398,1.521371343210198,345.93899019765007,1.5212436126719708,292.55316221052556,1.520795,1.5207953794856388,177.1309414518517,278.5162565103591,177.13094145181205,1.4247420178406383,370.4817825146512,370.48178047108837,1.4238377135308973,278.5162565103591,370.48178047108837,388.27738094691335,1.4236188994759467,1.411445,1.4114450924817974,12.173806994149272,277.5121951030921,1.361375,1.3613754173615513,68.13672701446029,217.19336350829403,68.1367270144541,1.2657390289445805,190.0,189.99973717309425,1.4238377135308973,217.19336350829403,189.99973717309425,233.44854511524161,1.2653401085408866,1.251615,1.2516151099581707,13.72499858271592,215.42560295808394,1.200915,1.2009153864269007,137.3131256882388,0.015349253419327155,0.016170730227762373,0.9491997703959663,2.012651920994923,0.8770595217350301
5,0.0,5.0,5.0,140.36778146513737,40.09959842303863,45.3663257366779,54.901857305420855,83.6,1.6722000000000001,123.19552046868965,3454.4970239256113,500.00004740141435,500.0,67.27881382802967,63.40236398250358,599.9999587739113,599.9999593203205,1.622010474101485,1219.506405728874,1219.5064880784912,1.622195,1.622194918653645,296.2795910062437,210.35727893363162,1.5721280783668328,1003.9002508950938,1010.0768661024631,1.571315,1.571315015420424,292.55323996437215,1010.0768661024431,1.5213712526152199,345.9392819619986,1.5212435219922158,292.55323996437215,1.520795,1.5207952886483007,177.13097246515036,278.51643681176006,177.13097246511072,1.4247419813043023,370.4816914645787,370.48169009611996,1.4238376758699915,278.51643681176006,370.48169009611996,388.2772909044066,1.423618861588543,1.411445,1.4114450419448479,12.173819643695127,277.51237523474913,1.361375,1.3613753189242337,68.13673160488035,217.19344378418415,68.13673160487443,1.265738982337152,190.0,189.9998085522622,1.4238376758699915,217.19344378418413,189.9998085522622,233.44862061979907,1.265340061582519,1.251615,1.2516150501023091,13.725011480209881,215.4256808787209,1.200915,1.2009152827828447,137.3131262924702,0.015349280479583047,0.01617073940289367,0.9492009052372937,2.012651920994923,0.8770593653105012
6,0.0,6.0,6.0,140.36779572658557,40.09960249718114,45.36633034592297,54.90186288348147,83.6,1.6722000000000001,123.1955578733966,3454.4973791258226,500.0000195446617,500.0,67.27880808141181,63.402357774435885,599.9999587739113,599.999975005997,1.6220104858054327,1219.506405728874,1219.506492156615,1.622195,1.6221949303352634,296.27964073141476,210.35725209827416,1.5721280580342492,1003.9002969604486,1010.0769251025994,1.571315,1.571314994782348,292.55328533158615,1010.0769251025863,1.521371186249811,345.9394575583939,1.5212434555756793,292.55328533158615,1.520795,1.5207952221371868,177.13100304393748,278.5165740150385,177.13100304389738,1.4247419627069589,370.4816290356645,370.4816280878977,1.423837656431799,278.5165740150385,370.4816280878978,388.2772211461021,1.4236188419826958,1.411445,1.4114450131025595,12.173828880136295,277.5125126927805,1.361375,1.3613752435055928,68.13673636676084,217.19349469922406,68.13673636675438,1.2657389552768872,190.0,189.9998628062876,1.423837656431799,217.19349469922403,189.9998628062876,233.44867700119963,1.2653400342970864,1.251615,1.251615014510229,13.725019786857473,215.42573000690237,1.200915,1.2009152039139275,137.3131269685453,0.015349303552594435,0.016170747307669892,0.9492018680740969,2.012651920994923,0.8770592355152178
7,0.0,7.0,7.0,140.36780277532355,40.09960451083099,45.36633262404791,54.90186564044466,83.6,1.6722000000000001,123.19558001541232,3454.4975552206092,500.000000015737,500.0,67.2788028099223,63.40235334690801,599.9999587739113,599.9999823316865,1.6220104994436813,1219.506405728874,1219.506483719741,1.622195,1.6221949439554546,296.2796685116207,210.3572346324995,1.5721280479831097,1003.9003275583715,1010.0769636999992,1.571315,1.5713149845586434,292.5533104330608,1010.0769636999909,1.5213711380869752,345.9395610844093,1.5212434073829884,292.5533104330608,1.520795,1.5207951738895091,177.1310330516559,278.5166837366414,177.13103305161744,1.4247419557708847,370.4815843832612,370.4815836965692,1.4238376488332876,278.5166837366414,370.4815836965692,388.27716446224997,1.423618834253462,1.411445,1.4114449982698445,12.173835983617431,277.51262291975223,1.361375,1.3613751864546346,68.13674127598782,217.1935280402359,68.13674127598179,1.265738941505151,190.0,189.99990294167165,1.4238376488332876,217.1935280402359,189.99990294167165,233.44871690254575,1.2653400203782832,1.251615,1.2516149951931037,13.725025185179485,215.42576208078913,1.200915,1.2009151455064253,137.31312770266382,0.015349323469689882,0.01617075413038654,0.9492026992635363,2.012651920994923,0.8770591251570281
8,0.0,8.0,8.0,140.3678055051079,40.099605290662765,45.366333506303675,54.90186670814146,83.6,1.6722000000000001,123.19559264193765,3454.4976239504454,499.9999880162093,500.0,67.27879848338466,63.40235056681679,599.9999587739113,599.9999837029574,1.622010512567568,1219.506405728874,1219.5064687154186,1.622195,1.6221949570661507,296.27968295729,210.35722365877058,1.572128044088409,1003.9003485366915,1010.0769896877234,1.571315,1.5713149805722242,292.5533232402539,1010.0769896877185,1.521371103237351,345.9396206568022,1.521243372516637,292.5533232402539,1.520795,1.5207951389924774,177.13106241711188,278.5167757990524,177.1310624170737,1.4247419559522312,370.48155077433796,370.4815502500332,1.4238376484646709,278.5167757990524,370.48155025003325,388.2771163385744,1.423618833777324,1.411445,1.4114449920222156,12.173841755108272,277.5127156267469,1.361375,1.3613751436027988,68.13674631507492,217.1935511316472,68.13674631506791,1.265738936200787,190.0,189.99993199865136,1.4238376484646709,217.19355113164718,189.99993199865136,233.44874350431698,1.2653400149743566,1.251615,1.2516149862015373,13.725028772819226,215.42578433106553,1.200915,1.2009151031439942,137.31312848410835,0.015349340940956179,0.016170760051777408,0.9492034321088734,2.012651920994923,0.8770590291878976
9,0.0,9.0,9.0,140.36780580223294,40.09960537554403,45.36633360233335,54.90186682435557,83.6,1.6722000000000001,123.19559946438204,3454.4976321186687,499.99998189065883,500.0,67.27879521411371,63.402349143657425,599.9999587739113,599.9999814417089,1.622010524000706,1219.506405728874,1219.5064515937777,1.622195,1.6221949684905146,296.27968956920364,210.35721711966895,1.572128043661413,1003.9003633774906,1010.0770077209172,1.571315,1.5713149801011903,292.55332885333644,1010.0770077209137,1.5213710779580243,345.9396539025094,1.5212433472284785,292.55332885333644,1.520795,1.5207951136881879,177.13109111048257,278.51685629446104,177.13109111044565,1.4247419601562585,370.48152409250974,370.48152367052717,1.4238376521905654,278.51685629446104,370.4815236705272,388.2770739932217,1.423618837410428,1.411445,1.4114449907225608,12.17384668786714,277.512796836434,1.361375,1.3613751115268595,68.1367514708923,217.19356847227388,68.13675147088628,1.2657389359381697,190.0,189.99995265611614,1.4238376521905654,217.19356847227385,189.99995265611614,233.44875981655377,1.265340014640278,1.251615,1.251614983382202,13.725031258076115,215.42580116034324,1.200915,1.2009150729383722,137.31312930491043,0.015349356543824055,0.016170765230964244,0.9492040929783996,2.012651920994923,0.8770589439738167
