,i,j,steps,acidgas_Fm,acidgas_CO2,acidgas_H2O,acidgas_H2S,acidgas_T,acidgas_P,air,air_SP,second_air2,air2_SP,COG,COG_SP,burner_input_T_SP,burner_input_T_PV,burner_inputP,burner_output_T_SP,burner_output_T_PV,burner_output_P_SP,burner_output_P_PV,fur_F,fur_inputT,fur_inputP,fur_temp,fur_outputT,fur_outputP_SP,fur_outputP_PV,WHB_F,WHB_inputT,WHB_inputP,WHB_outputT,WHB_outputP,SEP1_F,SEP1_P_SP,SEP1_P_PV,SEP1_T,HEATER1_F,HEATER1_input_T,HEATER1_input_P,HEATER1_output_T_SP,HEATER1_output_T_PV,HEATER1_output_P,cat1_F,cat1_input_temp,cat1_output_temp,cat1_input_P,cat1_output_P_SP,cat1_output_P_PV,cat1_deltaP,SEP2_F,SEP2_P_SP,SEP2_P_PV,SEP2_T,HEATER2_F,HEATER2_input_T,HEATER2_input_P,HEATER2_output_T_SP,HEATER2_output_T_PV,HEATER2_output_P,cat2_F,cat2_input_temp,cat2_output_temp,cat2_input_P,cat2_output_P_SP,cat2_output_P_PV,cat2_deltaP,SEP3_F,SEP3_P_SP,SEP3_P_PV,SEP3_T,B35_H2S,B35_SO2,ratio,ratioSP,conv
0,0.0,0.0,0.0,140.42273917617032,40.115298479844185,45.384087856976734,54.92335283934944,83.6,1.6722000000000001,123.2431848491016,3455.8494973766133,370.0000139599875,370.0,49.77004776675241,46.88895563796339,599.9999587739113,599.9999044401278,1.6220941210551294,1219.506405728874,1219.506289383235,1.622195,1.6221951105448806,287.8737374765605,180.37178075558074,1.5720651782079276,970.7161754762086,974.855995390793,1.571315,1.5713155522739102,284.4059861087386,974.8559953904686,1.5213406302300778,285.75478955032355,1.5212228730137394,284.4059861087386,1.520795,1.5207960206601756,148.46950792564613,268.28154200055457,148.46950792564158,1.4234385134376004,350.258261343423,350.25824784042896,1.4226533668747154,268.28154200055457,350.25824784042896,374.6808051950909,1.4224568653197565,1.411445,1.411445673757984,11.011191561772549,266.9588361323619,1.361375,1.3613759703448902,65.5959996526204,202.55944087265127,65.59599965255585,1.2641107136700012,190.0,189.9993170079778,1.4226533668747154,202.55944087265127,189.9993170079778,236.92063561282103,1.2637607752887514,1.251615,1.2516156862434977,12.145089045253687,200.77538226867162,1.200915,1.200915905450516,134.07187587960496,0.014381975689342482,0.01118077731049902,1.2863126855981166,2.012651920994923,0.9072117302360136
1,0.0,1.0,1.0,140.42287506652602,40.11533730035296,45.384131776215725,54.92340598995736,83.6,1.6722000000000001,123.24353337140064,3455.852852160362,370.00007870137904,370.0,49.77006599558978,46.88895810665468,599.9999587739113,599.9998779096741,1.6220940154336096,1219.506405728874,1219.5063259708738,1.622195,1.6221950049715352,287.87422653579415,180.37164838373909,1.572064984384051,970.7167255659059,974.8567235856583,1.571315,1.57131535554829,284.40642987968863,974.8567235854653,1.5213404367230121,285.7567639926165,1.521222679057279,284.40642987968863,1.520795,1.520795825845395,148.46953273305786,268.2823414986509,148.46953273305547,1.4234383802955166,350.25768691713483,350.25767842519537,1.4226532289897482,268.2823414986509,350.25767842519537,374.6803865854127,1.4224567264381431,1.411445,1.4114454765912117,11.01124984693147,266.9596314579414,1.361375,1.3613758586455973,65.59600297884623,202.56009164908616,65.59600297876928,1.26411064003624,190.0,189.99939676783464,1.4226532289897482,202.56009164908616,189.99939676783464,236.92064020351674,1.263760699329188,1.251615,1.251615528772471,12.145170556717044,200.77604410238172,1.200915,1.2009158447557966,134.07187608451798,0.014382014213562985,0.011180787231521246,1.286314989790409,2.012651920994923,0.9072112847120325
2,0.0,2.0,2.0,140.42297469033426,40.115365760407414,45.38416397424641,54.92344495568045,83.6,1.6722000000000001,123.24376792702385,3455.855319092182,370.00008685944357,370.0,49.7700727441856,46.88895380202709,599.9999587739113,599.9998960623072,1.6220939597074355,1219.506405728874,1219.5063863507235,1.622195,1.6221949492582424,287.8745613740087,180.37155062859551,1.5720648423076404,970.7170625354804,974.8571717268671,1.571315,1.5713152115031204,284.40673454643036,974.8571717267539,1.5213402482051266,285.75806287959176,1.5212224902311422,284.40673454643036,1.520795,1.5207956364378767,148.46955882486418,268.28287247907764,148.46955882485952,1.4234382460015647,350.2573176237164,350.2573121306196,1.4226530915650504,268.28287247907764,350.2573121306196,374.6801106878927,1.4224565883570723,1.411445,1.4114453003463658,11.0112880107065,266.9601586090221,1.361375,1.3613756867959468,65.59600677266326,202.5604395581738,65.59600677257664,1.2641105045094567,190.0,189.99952246227508,1.4226530915650504,202.5604395581738,189.99952246227508,236.9207459461389,1.2637605624892825,1.251615,1.251615345013338,12.145217475944436,200.77639232091641,1.200915,1.2009156804262477,134.07187636887608,0.014382050361569957,0.011180797637391998,1.2863170256719425,2.012651920994923,0.9072110086651626
3,0.0,3.0,3.0,140.42304140825473,40.115384820064776,45.384185537221065,54.92347105096894,83.6,1.6722000000000001,123.24392084376805,3455.8569738140973,370.00006946383,370.0,49.770072862791174,46.88894727384029,599.9999587739113,599.9999256222773,1.6220939381554567,1219.506405728874,1219.5064345100977,1.622195,1.6221949277014955,287.8747798940989,180.37148142082913,1.5720647471648963,970.7172715678595,974.8574492231986,1.571315,1.5713151150804976,284.4069337229641,974.8574492231297,1.5213400939308122,285.75889498779304,1.5212223357542403,284.4069337229641,1.520795,1.5207954815820373,148.46958553107015,268.2832345423763,148.46958553106793,1.4234381474986204,350.25707631790306,350.2570727147539,1.4226529909562655,268.2832345423763,350.2570727147539,374.6799226249949,1.42245648730886,1.411445,1.4114451739173788,11.011313391481314,266.96051804734435,1.361375,1.3613755280320556,65.59601090788692,202.56063630134005,65.59601090779286,1.2641103897795953,190.0,189.99964141077473,1.4226529909562655,202.56063630134005,189.99964141077473,236.92086295201793,1.263760446982212,1.251615,1.2516152012794453,12.14524570276665,200.7765863734053,1.200915,1.200915513702007,134.07187676327374,0.014382082078931794,0.011180807326454411,1.2863187477440015,2.012651920994923,0.907210815484683
4,0.0,4.0,4.0,140.42308345663983,40.1153968322469,45.38419912709699,54.92348749729596,83.6,1.6722000000000001,123.24401825169237,3455.8580179557093,370.0000451824959,370.0,49.77006981460324,46.88894083700321,599.9999587739113,599.9999511737365,1.622093936558425,1219.506405728874,1219.5064619224577,1.622195,1.622194926092757,287.87491771000515,180.3714337882664,1.5720646872029567,970.7174027918998,974.8576228355436,1.571315,1.5713150543119176,284.40705927342145,974.8576228355015,1.5213399758535688,285.7594179661702,1.5212222175477526,284.40705927342145,1.520795,1.5207953631352393,148.46961236871917,268.28348888207364,148.46961236871627,1.423438084647815,350.2569158055741,350.25691339365306,1.4226529266541077,268.28348888207364,350.25691339365306,374.67978968211384,1.4224564227059848,1.411445,1.4114450920917894,11.011330614195458,266.96077080107597,1.361375,1.3613753997538196,65.59601530523123,202.5607522054185,65.59601530513223,1.2641103107614393,190.0,189.9997388745712,1.4226529266541077,202.5607522054185,189.9997388745712,236.92096257695184,1.2637603674898779,1.251615,1.2516151043515682,12.145263138309659,200.77669931873112,1.200915,1.2009153748175039,134.07187725967077,0.014382109296567459,0.011180815988125136,1.286320185560905,2.012651920994923,0.907210667429148
5,0.0,5.0,5.0,140.42310849717097,40.11540398570642,45.3842072201001,54.92349729136447,83.6,1.6722000000000001,123.24407901719476,3455.8586405338406,370.00002308478196,370.0,49.770065776281065,46.888935627182555,599.9999587739113,599.9999679587535,1.6220939449702776,1219.506405728874,1219.5064705090736,1.622195,1.6221949344920068,287.87500198604687,180.3714018559738,1.5720646514937027,970.717486367978,974.8577327769069,1.571315,1.5713150181082487,284.4071358383458,974.857732776881,1.5213398883642049,285.75974125213077,1.5212221299779691,284.4071358383458,1.520795,1.5207952754166039,148.46963901856068,268.28367483948483,148.46963901855716,1.423438048729349,350.2568059263104,350.2568042592636,1.4226528896979962,268.28367483948483,350.2568042592636,374.67969108857557,1.422456385536849,1.411445,1.4114450428524075,11.011342684441594,266.9609559196116,1.361375,1.3613753013316565,65.59601991354887,202.5608226346206,65.59601991344499,1.2641102622786504,190.0,189.99981369246822,1.4226528896979962,202.5608226346206,189.99981369246822,236.92103881680066,1.2637603187119002,1.251615,1.2516150446405498,12.145274071350354,200.77676732051026,1.200915,1.200915267983531,134.07187783999987,0.014382132591381906,0.011180823639659453,1.2863213887362557,2.012651920994923,0.907210547044092
6,0.0,6.0,6.0,140.4231224247984,40.11540796448462,45.38421172145559,54.92350273885823,83.6,1.6722000000000001,123.24411610677087,3455.858987379625,370.0000064781422,370.0,49.770061913541376,46.88893197480585,599.9999587739113,599.9999763378369,1.6220939571951718,1219.506405728874,1219.5064661008284,1.622195,1.622194946706174,287.875051826627,180.37138106766463,1.57206463163044,970.7175405062757,974.8578034209789,1.571315,1.5713149979508427,284.40718086183466,974.8578034209617,1.5213398246247567,285.75993784154383,1.5212220661897113,284.40718086183466,1.520795,1.5207952115383148,148.46966528086804,268.283817539697,148.46966528086614,1.4234380309802401,350.2567275448481,350.2567263403265,1.4226528711706692,268.283817539697,350.2567263403265,374.6796137332532,1.4224563668514436,1.411445,1.4114450153229892,11.01135152845445,266.96109828599276,1.361375,1.3613752274566306,65.59602469875817,202.5608667697927,65.59602469865136,1.2641102354808254,190.0,189.9998690383966,1.4226528711706692,202.5608667697927,189.9998690383966,236.92109344112416,1.2637602917268798,1.251615,1.251615010722905,12.145281003974828,200.77680968631137,1.200915,1.200915189141167,134.07187848661528,0.014382152674305251,0.01118083040241366,1.2863224068939016,2.012651920994923,0.9072104452695542
7,0.0,7.0,7.0,140.4231294056708,40.11540995874695,45.38421397764663,54.92350546927725,83.6,1.6722000000000001,123.2441381751403,3455.8591617046645,369.9999956793466,370.0,49.770058740216825,46.888929785398965,599.9999587739113,599.999978512496,1.6220939697522543,1219.506405728874,1219.5064546278759,1.622195,1.6221949592552847,287.8750800882698,180.3713680255626,1.572064621672462,970.7175762538493,974.8578495932948,1.571315,1.5713149878241646,284.4072061293447,974.8578495932829,1.5213397785759628,285.76005525146246,1.5212220201121214,284.4072061293447,1.520795,1.520795165407741,148.46969103758343,268.2839328669432,148.46969103758084,1.4234380246587093,350.2566686549809,350.25666773639625,1.4226528642329208,268.2839328669432,350.25666773639625,374.6795494542841,1.4224563597898607,1.411445,1.4114450014266127,11.01135836324807,266.96121361050245,1.361375,1.361375172500055,65.5960296374345,202.56089558760434,65.59602963732527,1.2641102226803678,190.0,189.9999089850252,1.4226528642329208,202.56089558760434,189.9999089850252,236.92113039150271,1.2637602788046798,1.251615,1.251614993341558,12.14528546312188,200.77683731061705,1.200915,1.200915132423658,134.07187918520273,0.014382170207000874,0.011180836417212396,1.2863232830112932,2.012651920994923,0.9072103567960855
8,0.0,8.0,8.0,140.42313223718222,40.11541076763963,45.3842148927802,54.92350657676241,83.6,1.6722000000000001,123.24415088198906,3455.859232877121,369.9999897211704,370.0,49.77005639210221,46.88892878029945,599.9999587739113,599.9999768880186,1.6220939809290589,1219.506405728874,1219.5064406742363,1.622195,1.6221949704267926,287.8750951715147,180.37136025500342,1.5720646176310729,970.717600346939,974.8578803465887,1.571315,1.57131498369083,284.4072193589757,974.8578803465807,1.5213397454007158,285.7601238771708,1.5212219869204875,284.4072193589757,1.520795,1.5207951321859985,148.4697162243239,268.2840307574615,148.46971622432247,1.423438025097471,350.25662181273304,350.25662107097924,1.4226528641567695,268.2840307574615,350.25662107097924,374.6794932521607,1.4224563596112147,1.411445,1.411444995663619,11.01136394759572,266.9613117115164,1.361375,1.361375131728307,65.59603471292239,202.5609155639437,65.59603471280882,1.2641102182883777,190.0,189.99993729129827,1.4226528641567695,202.5609155639437,189.99993729129827,236.92115372657875,1.2637602743303125,1.251615,1.2516149859285906,12.14528840172191,200.77685654199976,1.200915,1.2009150923462126,134.0718799250344,0.01438218574710488,0.011180841814222789,1.2863240519877281,2.012651920994923,0.9072102781945894
9,0.0,9.0,9.0,140.4231327262985,40.11541090736803,45.384215050860696,54.923506768069785,83.6,1.6722000000000001,123.24415786714142,3455.8592457397526,369.99998728249153,370.0,49.77005481091886,46.888928636163726,599.9999587739113,599.9999734113755,1.6220939900759375,1219.506405728874,1219.5064272088457,1.622195,1.6221949795705706,287.8751024382186,180.37135598584882,1.5720646169298873,970.7176169228242,974.8579012382527,1.571315,1.5713149829434487,284.40722548172977,974.8579012382478,1.5213397214614897,285.76016288561135,1.5212219629724,284.40722548172977,1.520795,1.5207951082216318,148.46974081097076,268.28411735815286,148.46974081096897,1.4234380292527085,350.2565824624234,350.2565818309845,1.4226528678610981,268.28411735815286,350.2565818309845,374.6794421218191,1.4224563632264564,1.411445,1.411444994478156,11.011368748300443,266.96139865834846,1.361375,1.3613751014706315,65.59603991291907,202.56093056502516,65.5960399128027,1.2641102185820665,190.0,189.99995704976277,1.4226528678610981,202.56093056502516,189.99995704976277,236.92116694040365,1.2637602745648753,1.251615,1.2516149841461792,12.145290418696053,200.7768711281633,1.200915,1.2009150644150721,134.07188069842786,0.014382199742966633,0.011180846704164174,1.2863247411853123,2.012651920994923,0.9072102070995623
10,0.0,10.0,10.0,140.4231319993186,40.11541069968788,45.3842148159036,54.92350648372714,83.6,1.6722000000000001,123.24416143531576,3455.859228264639,369.99998713105583,370.0,49.770053857202555,46.88892905661252,599.9999587739113,599.9999694152016,1.6220939971297117,1219.506405728874,1219.506415822771,1.622195,1.6221949866228647,287.87510523733846,180.37135397323544,1.5720646179630506,970.7176285492749,974.8579157074781,1.571315,1.5713149839568112,284.40722757652304,974.8579157074743,1.5213397040896173,285.7601842069071,1.5212219455961138,284.40722757652304,1.520795,1.5207950908372196,148.46976478872344,268.2841964278152,148.4697647887209,1.423438035225807,350.2565478561633,350.2565472950932,1.4226528734246986,268.2841964278152,350.2565472950932,374.67939429780256,1.4224563687095735,1.411445,1.41144499566105,11.01137304852351,266.96147815945653,1.361375,1.3613750789777341,65.59604522793273,202.56094289549878,65.59604522781429,1.264110221227219,190.0,189.9999706614676,1.4226528734246986,202.56094289549878,189.9999706614676,236.92117281334427,1.2637602771642307,1.251615,1.2516149852746907,12.145291889539944,200.7768832782921,1.200915,1.2009150451688915,134.0718815000594,0.014382212546088138,0.011180851177740318,1.2863253716068892,2.012651920994923,0.9072101418095029
